track,date,race_no,post_position,post_position,entry,entry,distance_in_yards,distance_in_yards,race_type,race_type,todays_trainer,todays_trainer,todays_jockey,todays_jockey,horse_name,horse_name,predicted_res_final_time,predicted_res_finish_position,predicted_res_beaten_lengths,predicted_res_odds
SA ,20241229, 4, 8,0,,0,1320,0,M,2,KNAPP STEVE,0,PEREIRA TIAGO,0,IGNATOWSKI,33,-0.9950124189062134,46,-1.8085787224643401,-4.097639438406171
SA ,20241229, 4, 9,0,,0,1320,0,M,2,CAMPUZANO LORENZO,0,AGUILAR ARMANDO,0,BRUCKNER,7,-0.686244568067783,73,0.008138065137290318,-3.3506315082432927
SA ,20241229, 5, 1,0,,0,1320,0,AO,0,SHIRREFFS JOHN,0,BERRIOS HECTOR ISAAC,0,ASHLEY,3,-0.7146741729565256,5,-0.524216584526998,-3.4371219414201355
SA ,20241229, 5, 2,0,,0,1320,0,AO,0,MULLINS JEFF,0,HERNANDEZ JUAN J,0,QUEEN MAXIMA,56,-0.564389225510655,24,-2.1435095159186135,-4.255351619531598
SA ,20241229, 5, 3,0,,0,1320,0,AO,0,GAINES CARLA,0,DETTORI LANFRANCO,0,LOVIN' ON THE RUN,40,-0.8457274181120444,28,-1.8311271300423049,-3.2680608641306543
SA ,20241229, 5, 4,0,,0,1320,0,AO,0,POWELL LEONARD,0,AYUSO ARMANDO,0,SHIN JIDAI,62,-0.8050619607856069,3,-4.279259108755131,-5.956426646333224
SA ,20241229, 5, 5,0,,0,1320,0,AO,0,HESS R B JR,0,BAZE T C,0,MISS MANDALAY,44,-0.9846487003097332,49,-1.410366318672573,-2.839666957522598
SA ,20241229, 5, 6,0,,0,1320,0,AO,0,EURTON PETER,0,MALDONADO E,0,PRANCINGTHRUPARIS,53,-0.8252184932043435,32,-2.005857587441599,-3.1133002369555567
SA ,20241229, 5, 7,0,,0,1320,0,AO,0,MANDELLA RICHARD E,0,KIMURA KAZUSHI,0,REPORT,58,-0.563027725850969,15,-1.3405996215702038,-2.9662743585015123
SA ,20241229, 5, 8,0,,0,1320,0,AO,0,MANDELLA RICHARD E,0,PRAT FLAVIEN,0,RASCALITY,57,-0.5248992446714525,10,-1.772255733427846,-3.9248640503412267
SA ,20241229, 5, 9,0,,0,1320,0,AO,0,PALMA HECTOR O,0,FREY KYLE,0,ANG N ASH,1,-0.6350363212367088,18,-0.9680745474105618,-3.7919246582088966
SA ,20241229, 5,10,0,,0,1320,0,AO,0,SADLER JOHN W,0,RISPOLI UMBERTO,0,SOHO,67,-0.6466722106244505,6,-2.1576831973350736,-3.481270125090898
SA ,20241229, 6, 1,0,,0,1320,0,M,2,HEADLEY KAREN,0,GONZALEZ RICARDO,0,SEATTLE SURF,61,-0.7795587050770502,7,-0.0860335673239968,-2.993456534583314
SA ,20241229, 6, 2,0,,0,1320,0,M,2,BRINKERHOFF VAL,0,ALSAGOOR ABDUL,0,GOT YOUR SIX,29,-1.0790096604282804,79,-0.05952738545661729,-1.9465378228848482
SA ,20241229, 6, 3,0,,0,1320,0,M,2,RODRIGUEZ FRANCISCO,0,CASTELLANOS ADRIAN,0,HERMELINDA'S FANCY,31,-0.7573273916613009,29,-0.8153656131585952,-2.8865166022720343
